Date,SPY,BRK-B,UNH,JPM,XOM,AVGO,META,TSLA,LLY,V,MA,MSFT,AAPL,AMZN,NVDA,GOOGL,TRGP,PTC,DECK,ATO,BLDR,SHV,TLT,USO,IAU,MTUM
2020-08-24 00:00:00-04:00,48588700,5039500,2922200,17898300,18208900,11996000,23685600,300954000,2268400,6159600,2753900,25460100,345937600,93326000,490564000,25638000,2178000,516900,1720800,543300,1425000,1043600,6490600,4511800,11466650,901900
2020-08-25 00:00:00-04:00,38463400,3675900,1879300,13648900,31285600,11140000,42127200,159883500,2216100,5828300,2862700,23043700,211495600,79856000,289076000,25150000,2525600,485800,2579400,463600,747900,5741500,10518300,5251900,11542900,523700
2020-08-26 00:00:00-04:00,50790200,4639000,3178900,12052400,26795000,14844000,69015200,213591000,3029700,7035200,3512000,39600800,163022400,130174000,321244000,52188000,2117900,894300,1444800,570600,666900,6070500,8276600,5402600,12596050,633900
2020-08-27 00:00:00-04:00,58034100,4814200,2321000,22163900,32034300,12552000,30301300,355395000,3146100,8619600,3811700,57602200,155552400,85296000,317604000,31350000,2169100,629300,1097400,580900,11569500,1744700,19860100,4372600,14857000,745100
2020-08-28 00:00:00-04:00,48588900,4290400,2883500,13756700,33477100,14589000,17157400,301218000,2102600,7349800,3544700,26292900,187630000,57940000,537160000,22418000,1737000,381100,1075800,582400,8813900,1338800,8415400,2437800,14267650,568900
2020-08-31 00:00:00-04:00,66099200,6131900,4341600,14219400,25259600,22229000,17345100,355123200,4430700,9326900,3948200,28774200,225702700,83718000,500840000,26422000,1901000,763800,1863600,636800,3599500,2049100,11388100,3825200,24496650,581300
2020-09-01 00:00:00-04:00,54908700,4134300,2487100,11595600,22464100,29205000,17295900,269523300,2358700,5642900,4409600,25725500,151948100,68644000,511316000,22652000,1749900,773900,1641000,839000,3612300,1689300,10587000,3902000,11332750,1237200
2020-09-02 00:00:00-04:00,69540000,5493900,2846500,14475700,26413400,37053000,24341400,288528300,2406800,9863800,4127200,34080800,200119000,78630000,874012000,49522000,2096300,748100,1506600,1160100,3015500,2141100,15167700,7281600,13577450,1029500
2020-09-03 00:00:00-04:00,148011100,7084700,3872500,23281200,28817200,41795000,32294100,262788300,4226100,11310200,6297400,58400300,257599600,163222000,945128000,63726000,2455800,1035900,1805400,909800,3582100,2984700,16416600,7999000,16157650,951600
2020-09-04 00:00:00-04:00,139156300,6041400,2901000,26325500,24632500,58514000,30333700,330965700,4361800,13243600,6571200,59664100,332607200,175636000,1463684000,55850000,2650500,1166100,1853400,788900,3040000,1651000,13780300,7365900,14449100,1701600
2020-09-08 00:00:00-04:00,114465300,7001200,2594500,22108600,38496400,26685000,24864000,346397100,4351200,14186900,4425700,52924300,231366600,121884000,795728000,54032000,2352000,1037600,2058600,939300,3347400,3659200,13790400,10546400,11492000,1225300
2020-09-09 00:00:00-04:00,91462300,5417000,2195600,13434000,25886100,26273000,22918800,238397400,2328500,7532600,3344900,45679000,176940500,103774000,736200000,39242000,2286300,500700,1596600,681700,2680200,8344200,9558900,5310500,10482100,1681900
2020-09-10 00:00:00-04:00,90569500,3837300,2421200,15922800,34381200,22851000,24814700,254791800,3961300,7243000,2845900,35461500,182274400,106614000,698684000,33024000,2122200,1507300,1902000,645500,5509600,1137500,8847700,4856800,10873700,614100
2020-09-11 00:00:00-04:00,84680200,3437100,3085900,13784300,26838600,17362000,18913900,182152500,3001400,7439000,2920400,33620100,180860300,101880000,636928000,30706000,2453100,1403000,2305200,681600,3014800,4009400,5458200,3362000,9932200,616800
